repository,file_url
Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle/blob/9383d4d60a27088d1d021a20bb9631cf30ba8dff/plugin/src/main/java/com/android/signapk/SignApk.java
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary/blob/dc0349571b1a4fdfd24113b27eac02c85f4ae6b0/CommonUtil/src/main/java/com/jingewenku/abrahamcaijin/commonutil/encryption/DESUtils.java
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary/blob/dc0349571b1a4fdfd24113b27eac02c85f4ae6b0/CommonUtil/src/main/java/com/jingewenku/abrahamcaijin/commonutil/encryption/TripleDESUtils.java
LaiFeng-Android/SopCastComponent,https://github.com/LaiFeng-Android/SopCastComponent/blob/56885a5cf2f0fe0916bf409e541f139b56422d53/sopcast-sdk/src/main/java/com/laifeng/sopcastsdk/stream/sender/rtmp/Crypto.java
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary/blob/f2c1b2d4693cec9d9e2f88c15ca99740ddba649a/CommonUtil/src/main/java/com/jingewenku/abrahamcaijin/commonutil/encryption/AESUtils.java
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary/blob/f2c1b2d4693cec9d9e2f88c15ca99740ddba649a/CommonUtil/src/main/java/com/jingewenku/abrahamcaijin/commonutil/encryption/RSAUtils.java
ICT-BDA/EasyML,https://github.com/ICT-BDA/EasyML/blob/4a0e9159e98381ecb7fba3b6cd157f14da36777b/src/main/java/eml/studio/shared/util/Aes.java
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph/blob/2bcca3692100bfa17707cb18dee55321af198520/janusgraph-server/src/main/java/org/janusgraph/graphdb/tinkerpop/gremlin/server/auth/HMACAuthenticator.java
ThirtyDegreesRay/OpenHub,https://github.com/ThirtyDegreesRay/OpenHub/blob/c661b6f600838078ac315906aa0d1e6be3161e57/app/src/main/java/com/thirtydegreesray/openhub/util/AESEncrypting.java
ZHENFENG13/My-Blog,https://github.com/ZHENFENG13/My-Blog/blob/d6ed8caa1fb214f98f41c638cbfcb1da498ce76a/src/main/java/com/my/blog/website/utils/Tools.java
limedroid/XDroidMvp,https://github.com/limedroid/XDroidMvp/blob/1f4133d56ec042c69653c2d228a080c73124c15c/mvp/src/main/java/cn/droidlover/xdroidmvp/kit/Codec.java
uccmawei/FingerprintIdentify,https://github.com/uccmawei/FingerprintIdentify/blob/93dc09817ce31c8489c38dc94795ac07b5a397f1/FingerprintIdentifyLib/src/main/java/com/wei/android/lib/fingerprintidentify/aosp/FingerprintManagerCompat.java
uccmawei/FingerprintIdentify,https://github.com/uccmawei/FingerprintIdentify/blob/85ee778f41d977a23264b4e62f244d7c44f46389/FingerprintIdentifyLib/src/main/java/com/wei/android/lib/fingerprintidentify/aosp/FingerprintManagerCompatApi23.java
Tencent/soter,https://github.com/Tencent/soter/blob/b9126932af7a8cab905fa2b9d26110cfb60fc7d7/soter-client-sdk/soter-core/src/main/java/com/tencent/soter/core/fingerprint/FingerprintManagerCompatApi23.java
Tencent/soter,https://github.com/Tencent/soter/blob/f8976d52964c3686eeb8e8f96482ba6103dfb359/soter-client-sdk/soter-core/src/main/java/com/tencent/soter/core/fingerprint/FingerprintManagerCompat.java
Pay-Group/best-pay-sdk,https://github.com/Pay-Group/best-pay-sdk/blob/6315b1d8b7b8f6a14a56c2cfbe30c51d5305ddbd/src/main/java/com/lly835/bestpay/service/impl/WxEncryptAndDecryptServiceImpl.java
dragonite-network/dragonite-java,https://github.com/dragonite-network/dragonite-java/blob/9f1e4a26a40eae65660e47cabc7e1fdbf22c3a10/dragonite-sdk/src/main/java/com/vecsight/dragonite/sdk/cryptor/AESCryptor.java
youth5201314/XFrame,https://github.com/youth5201314/XFrame/blob/89ebe204631f5785578fa06415d1f6dd747b92a8/xframe/src/main/java/com/youth/xframe/utils/XEncryptUtils.java
wkeyuan/DWSurvey,https://github.com/wkeyuan/DWSurvey/blob/a1f341bc75decf7cdcbf45110947a9dd6ad7acf7/src/main/java/com/key/common/utils/security/CryptoUtils.java
Javen205/IJPay,https://github.com/Javen205/IJPay/blob/7d685aa6ba851a710ac6059ba156a26df5fad661/src/main/java/com/jpay/unionpay/SecureUtil.java
Javen205/IJPay,https://github.com/Javen205/IJPay/blob/9b2731477b965aeb9dc8172dd81b5c3d467df03c/src/main/java/com/jpay/secure/RSAUtils.java
LRH1993/SmartRecom,https://github.com/LRH1993/SmartRecom/blob/823c7164715740a8f059fd65b59ae46277109feb/SmartRecom/ThreeRecom/app/src/main/java/com/lvr/threerecom/utils/AESTools.java
GcsSloop/encrypt,https://github.com/GcsSloop/encrypt/blob/fa9aa3b818660e9c75b89b36178afec8e46e20b1/encryptlib/src/main/java/com/gcssloop/encrypt/symmetric/DESUtil.java
GcsSloop/encrypt,https://github.com/GcsSloop/encrypt/blob/fa9aa3b818660e9c75b89b36178afec8e46e20b1/encryptlib/src/main/java/com/gcssloop/encrypt/symmetric/AESUtil.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/tests/appserv-tests/devtests/web/requestDispatcherForwardCommitResponse/servlet/To.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/tests/appserv-tests/devtests/web/requestDispatcherForwardHEADRequest/servlet/To.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/tests/appserv-tests/devtests/web/requestDispatcherForwardNonHttp/servlet/To.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/tests/appserv-tests/devtests/web/requestDispatcherIncludeNonHttp/servlet/To.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/tests/appserv-tests/devtests/web/requestDispatcherForwardSendErrorCommitResponse/servlet/To.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/tests/appserv-tests/devtests/web/requestDispatcherForwardSetStatusCommitResponse/servlet/To.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/security/core-ee/src/main/java/com/sun/enterprise/security/jauth/callback/SecretKeyCallback.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/appserver/security/core-ee/src/main/java/com/sun/enterprise/security/jauth/callback/SignatureKeyCallback.java
GcsSloop/encrypt,https://github.com/GcsSloop/encrypt/blob/fa9aa3b818660e9c75b89b36178afec8e46e20b1/encryptlib/src/androidTest/java/com/gcssloop/encrypt/EncryptInstrumentedTest.java
GcsSloop/encrypt,https://github.com/GcsSloop/encrypt/blob/fa9aa3b818660e9c75b89b36178afec8e46e20b1/encryptlib/src/test/java/com/gcssloop/encrypt/EncryptTest.java
GcsSloop/encrypt,https://github.com/GcsSloop/encrypt/blob/ab4ae3409a280b1fc9fbe79df3ce1cd739c3903c/encryptlib/src/main/java/com/gcssloop/encrypt/unsymmetric/RSAUtil.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/nucleus/security/services/src/main/java/org/glassfish/security/services/impl/JCEKSPasswordAliasStore.java
javaee/glassfish,https://github.com/javaee/glassfish/blob/168ce449c4ea0826842ab4129e83c4a700750970/nucleus/common/common-util/src/main/java/com/sun/enterprise/security/store/PasswordAdapter.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/ARCFOUR.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/ARCFOUR128.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/ARCFOUR256.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/TripleDESCBC.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/TripleDESCTR.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/AES128CBC.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/AES128CTR.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/AES192CBC.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/AES192CTR.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/AES256CBC.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/AES256CTR.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/BlowfishCBC.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/org/bouncycastle/jce/provider/JCEPBEKey.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/org/bouncycastle/jce/provider/WrapCipherSpi.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/com/keepassdroid/crypto/finalkey/AndroidFinalKey.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/kp2akeytransform/src/com/keepassdroid/crypto/finalkey/AndroidFinalKey.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/HMACMD5.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/com/keepassdroid/crypto/CipherFactory.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/com/keepassdroid/crypto/NativeAESCipherSpi.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/DH.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/org/bouncycastle/jce/provider/JCEStreamCipher.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/HMAC.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/PBKDF.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/com/keepassdroid/database/save/PwDbV3Output.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/keyring.fallback/src/org/netbeans/modules/keyring/fallback/MasterPasswordEncryption.java
drakeet/rebase-android,https://github.com/drakeet/rebase-android/blob/0bd488cfb623b2b85fb71e114a419dcbbf3b5cb9/app/src/main/java/com/drakeet/rebase/tool/BlackBox.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/com/keepassdroid/database/load/ImporterV3.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/org/bouncycastle/jce/provider/JCEBlockCipher.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/com/keepassdroid/stream/BetterCipherInputStream.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/17cbb754a6d46cc3dfae3399804d796014b3cddf/src/java/KP2AKdbLibrary/src/org/bouncycastle/jce/provider/PBE.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/apisupport.ant/test/unit/src/org/netbeans/modules/apisupport/project/ui/customizer/SuiteCustomizerLibrariesTest.java
PhilippC/keepass2android,https://github.com/PhilippC/keepass2android/blob/1f10558f1f9cb138deea3dcbab95815d23d2df16/src/java/JavaFileStorage/app/src/main/java/com/jcraft/jsch/jce/ECDHN.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/lib.uihandler/src/org/netbeans/lib/uihandler/PasswdEncryption.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/java.hints/test/unit/src/org/netbeans/modules/java/hints/StaticImportTest.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/apisupport.project/src/org/netbeans/modules/apisupport/project/api/ManifestManager.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/autoupdate.services/src/org/netbeans/modules/autoupdate/updateprovider/AutoupdateInfoParser.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/1648bdd4744053683bfde64f8aafbe957e0457ca/nbbuild/antsrc/org/netbeans/nbbuild/MakeOSGi.java
