repository,file_url
,
bndtools/bnd,https://github.com/bndtools/bnd/blob/8998ea4104da38aaaee3c1e6962610fa55cd4cf8/aQute.libg/src/aQute/lib/settings/PasswordCryptor.java
,
novoda/android-demos,https://github.com/novoda/android-demos/blob/36f4f29458fc01db90930defd8c808109aa4135a/encryption/src/main/java/com/novoda/Encrypt.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bd1b109a943307a83078399c7a4d6aa53631a065/cayenne-crypto/src/main/java/org/apache/cayenne/crypto/transformer/bytes/CbcDecryptor.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bd1b109a943307a83078399c7a4d6aa53631a065/cayenne-crypto/src/test/java/org/apache/cayenne/crypto/transformer/bytes/CbcDecryptorTest.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bd1b109a943307a83078399c7a4d6aa53631a065/cayenne-crypto/src/test/java/org/apache/cayenne/crypto/transformer/bytes/CbcEncryptorTest.java
,
getrailo/railo,https://github.com/getrailo/railo/blob/ca2389a7abbfeeddbcdba6d4e78a194287f60a04/railo-java/railo-core/src/railo/runtime/functions/displayFormatting/HMAC.java
,
apache/poi,https://github.com/apache/poi/blob/a98eaeb917943adcd6bfe04c9e446d59a94f7de2/src/ooxml/java/org/apache/poi/poifs/crypt/temp/SheetDataWriterWithDecorator.java
,
bndtools/bnd,https://github.com/bndtools/bnd/blob/8998ea4104da38aaaee3c1e6962610fa55cd4cf8/biz.aQute.bndlib.tests/src/test/stackmaptable/ClassRefInStackMapTable.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bd1b109a943307a83078399c7a4d6aa53631a065/cayenne-crypto/src/main/java/org/apache/cayenne/crypto/transformer/bytes/CbcEncryptor.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/6b61a6003f704221f66dcd9f418bcb7af88fb9ab/testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/deployment/jcedeployment/provider/DPCipher.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/e6e1704e5b318f5a3c762744c5f4845e635377a2/clustering/jgroups/extension/src/main/java/org/jboss/as/clustering/jgroups/auth/CipherAuthToken.java
,
apache/tika,https://github.com/apache/tika/blob/9130bbc1fa6d69419b2ad294917260d6b1cced08/tika-example/src/main/java/org/apache/tika/example/EncryptedPrescriptionDetector.java
,
apache/tika,https://github.com/apache/tika/blob/9130bbc1fa6d69419b2ad294917260d6b1cced08/tika-example/src/main/java/org/apache/tika/example/EncryptedPrescriptionParser.java
,
